#target	source	type
MHC_I	TLR4	+
MHC_I	LRP1	+
MHC_II	a_cDC1	+
MHC_II	a_cDC2	+
MHC_II	TLR4	+
MHC_II	LRP1	+
IL1B	a_cDC2	+
IL1B	TLR4	+
IL1B	LRP1	+
IL2	NFkB	+
IL2	AP1	+
IL2	NFAT	+
IL2	CD28	+
IL2	TCR_II	+
IL2	CD4_Act	+
IL2	Th1	+
IL2	a_cDC2	+
IL2	TLR4	+
IL2	TCR_II	+
IL2	Treg	+
IL4	CD4_Act	+
IL4	Th2	+
IL4	CD28	+
IL4	TCR_II	+
IL4	a_cDC2	+
IL4	TLR4	+
IL4	TCR_II	+
IL6	pDC	+
IL6	moDC	+
IL6	a_cDC2	+
IL6	TLR4	+
IL6	TCR_II	+
IL6	Th17	+
IL6	CD4_Act	+
IL10	a_cDC2	+
IL10	TLR4	+
IL10	Treg	+
IL10	CD4_Act	+
IL12	a_cDC1	+
IL12	TLR4	+
IL17	IL1BR	+
IL17	Th17	+
IL17	CD4_Act	+
IL27	a_cDC1	+
IL27	TLR4	+
IFNg	IL12R	+
IFNg	CTL	+
IFNg	CD4_Act	+
IFNg	IFNgR	+
IFNg	Th1	+
IFNg	CD28	+
IFNg	TCR_II	+
IFNg	IL12R	+
IFNg	Th1	+
IFNg	moDC	+
IFNg	pDC	+
TGFb	CD4_Act	+
TGFb	Tumor	+
TGFb	a_cDC2	+
TGFb	moDC	+
Perforin	CTL	+
IFN1	TLR4	+
IFN1	Tumor	+
IFN1	cDC1	+
IFN1	cDC2	+
Division	Tumor	+
Division	CTL	+
Division	Perforin	-
Division	Proliferation_Survival	+
Death	Tumor	+
Death	Perforin	+
Death	CTL	+
CD28	CD80	l+
CD28	CTLA4	l-
CTLA4	CD80	l+
PD1	PD_L1	l+
CXCR3	CXCL10	l+
FPR1	ANXA1	l+
IFN1R	IFN1	l+
IFNgR	IFNg	l+
IL12R	IL12	l+
IL17R	IL17	l+
IL1BR	IL1B	l+
IL2R	IL2	l+
IL4R	IL4	l+
IL6R	IL6	l+
IL10R	IL10	l+
IL27R	IL27	l+
LRP1	CALR	l+
P2X7R	ATP	l+
P2Y2R	ATP	l+
TCR_I	MHC_I	l+
TCR_II	MHC_II	l+
TGFbR	TGFb	l+
TLR4	HMGB1	l+
LAT_complex	LAT_complex	l+
TIM3	TIM3_L	l+
TIGIT	TIGIT_L	l+
TNFRs	TNFRs_L	l+
ICOS	ICOS_L	l+
LAG3	LAG3_L	l+
CD226	TIGIT_L	l+

